"time","ax","ay","az","a_mag"
7.480826044E0,3.776472330E0,8.123632669E-1,5.647659779E0,6.842348889E0
7.483365263E0,4.159324169E0,2.148156643E0,4.920241356E0,6.791415869E0
7.485904533E0,4.460819721E0,3.489333630E0,5.422734261E0,7.840944371E0
7.488443752E0,4.700700283E0,4.916054249E0,6.447460651E0,9.371975319E0
7.490982971E0,4.911268711E0,6.069993019E0,7.218547821E0,1.063356987E1
7.493522190E0,5.026124001E0,6.731009960E0,7.749754429E0,1.142922181E1
7.496061408E0,5.236692429E0,6.941578388E0,7.936992645E0,1.177303318E1
7.498600627E0,5.361119270E0,6.673582554E0,7.663612843E0,1.148952853E1
7.501139846E0,5.586044312E0,6.055635929E0,7.395616531E0,1.107112286E1
7.503679065E0,5.825924873E0,5.303691387E0,7.151548862E0,1.064026288E1
7.506218335E0,6.122634888E0,4.485345840E0,7.543971539E0,1.070123787E1
7.508757554E0,6.467201233E0,3.556332588E0,8.549555779E0,1.129456052E1
7.511296773E0,6.687341213E0,2.426322222E0,9.972088814E0,1.224949498E1
7.513835992E0,6.711269379E0,1.195214868E0,1.124088287E1,1.314637300E1
7.516375210E0,6.639484406E0,-2.572284266E-2,1.193001556E1,1.365315664E1
7.518914429E0,6.342774391E0,-1.213161111E0,1.187737370E1,1.351941392E1
7.521453648E0,5.854638577E0,-2.357528448E0,1.133181000E1,1.297091558E1
7.523992867E0,5.064409256E0,-3.425325632E0,1.076650524E1,1.238138651E1
7.526532138E0,4.140181541E0,-4.215555191E0,1.029272652E1,1.186811813E1
7.529071356E0,3.081955671E0,-4.789832592E0,9.938589096E0,1.145497709E1
7.531610575E0,1.741376638E0,-5.297709465E0,1.018265629E1,1.160967731E1
7.534149794E0,4.049852192E-1,-5.469992638E0,1.073300552E1,1.205330826E1
7.536689013E0,-8.590233326E-1,-5.374279499E0,1.139402294E1,1.262713586E1
7.539228283E0,-2.161317110E0,-5.163711071E0,1.187737370E1,1.313039259E1
7.541767502E0,-3.233899832E0,-4.718048096E0,1.213161087E1,1.341245944E1
7.544306721E0,-4.354339123E0,-4.268197536E0,1.236132145E1,1.378332498E1
7.546845992E0,-5.292923450E0,-3.808177233E0,1.256231880E1,1.415376650E1
7.549385210E0,-5.810371399E0,-3.095116138E0,1.307498074E1,1.463882785E1
7.551924429E0,-6.384648800E0,-2.587239504E0,1.375454235E1,1.538326961E1
7.554463648E0,-6.820741177E0,-2.194816589E0,1.436291790E1,1.605095451E1
7.557002867E0,-6.748358250E0,-1.773081541E0,1.495155239E1,1.649948715E1
7.559542085E0,-6.341578007E0,-1.375872970E0,1.534935951E1,1.666467748E1
7.562081304E0,-5.627918720E0,-9.116654396E-1,1.507179165E1,1.611407790E1
7.564620523E0,-4.679762840E0,-2.985046208E-1,1.415234947E1,1.490899999E1
7.567159794E0,-3.449253798E0,3.481557071E-1,1.239960670E1,1.287512371E1
7.569698960E0,-2.237887383E0,1.396810174E0,9.881160736E0,1.022724577E1
7.572238231E0,-6.245267391E-1,3.053241730E0,7.299903870E0,7.937311586E0
7.574777450E0,8.458628058E-1,4.935196877E0,5.350949764E0,7.328322828E0
7.577316669E0,2.224726915E0,7.027719975E0,4.144368649E0,8.456597979E0
7.579855888E0,3.460021496E0,9.311669350E0,3.857230186E0,1.065632017E1
7.582395106E0,4.715056896E0,1.145683479E1,4.096512318E0,1.304884049E1
7.584934377E0,5.935994625E0,1.317129230E1,4.656432629E0,1.517897684E1
7.587473544E0,7.013363361E0,1.421037579E1,5.279164791E0,1.670304243E1
7.590012815E0,7.990232944E0,1.444487190E1,5.825326920E0,1.750521581E1
7.592551981E0,8.857032776E0,1.401894951E1,6.198606968E0,1.770312693E1
7.595091252E0,9.522237778E0,1.318086338E1,6.500102520E0,1.751169622E1
7.597630471E0,9.967901230E0,1.239063358E1,6.313462734E0,1.710984124E1
7.600169690E0,9.967901230E0,1.201735306E1,5.739185333E0,1.663472506E1
7.602708908E0,9.684949875E0,1.197906876E1,5.322235584E0,1.629793036E1
7.605248179E0,9.014959335E0,1.174935722E1,5.035097122E0,1.564190174E1
7.607787398E0,8.114660263E0,1.149512005E1,4.968098164E0,1.492204730E1
7.610326617E0,6.481558323E0,1.233799171E1,4.517649174E0,1.465079492E1
7.612865835E0,4.944767952E0,1.313779259E1,4.455435753E0,1.472763497E1
7.615405054E0,2.871387243E0,1.360678577E1,4.622933388E0,1.465472609E1
7.617944273E0,5.682953596E-1,1.392802238E1,4.958526611E0,1.479526118E1
7.620483492E0,-2.137388945E0,1.381795216E1,5.561518192E0,1.504774793E1
7.623022710E0,-4.512265205E0,1.367378521E1,7.175477028E0,1.608789638E1
7.625561981E0,-6.427719593E0,1.372164154E1,8.712266922E0,1.747863326E1
7.628101200E0,-8.477172852E0,1.373599815E1,9.416355133E0,1.868710381E1
7.630640419E0,-1.035434151E1,1.414816189E1,9.579067230E0,1.997852352E1
7.633179638E0,-1.162313557E1,1.526860142E1,9.938589096E0,2.161025273E1
7.635718856E0,-1.273400402E1,1.644168282E1,1.023051357E1,2.317643631E1
7.638258075E0,-1.302652645E1,1.762912178E1,1.077129078E1,2.442328871E1
7.640797346E0,-1.274836063E1,1.874955940E1,1.157587814E1,2.545717249E1
7.643336565E0,-1.199222851E1,1.970728683E1,1.288774300E1,2.642507556E1
7.645875835E0,-1.002413273E1,2.047358894E1,1.528714561E1,2.744718387E1
7.648415054E0,-7.807182312E0,2.104308128E1,1.809751511E1,2.883198603E1
7.650954221E0,-6.001797199E0,2.179502487E1,2.024268150E1,3.034486502E1
7.653493492E0,-4.167698860E0,2.301596260E1,2.121476555E1,3.157800699E1
7.656032710E0,-2.602194548E0,2.435713959E1,2.228734779E1,3.311748084E1
7.658571929E0,-9.643075466E-1,2.549193573E1,2.375773811E1,3.485970161E1
7.661111148E0,7.549355626E-1,2.625285339E1,2.573540497E1,3.677082142E1
7.663650367E0,2.492722988E0,2.664108849E1,2.799542618E1,3.872602678E1
7.666189638E0,4.245465755E0,2.682294273E1,2.948914719E1,4.008870213E1
7.668728856E0,5.821139336E0,2.696651268E1,2.997309494E1,4.073653016E1
7.671268075E0,7.085147858E0,2.706222534E1,2.968116951E1,4.078645834E1
7.673807294E0,8.085946083E0,2.719143867E1,2.855534744E1,4.025126990E1
7.676346513E0,8.842676163E0,2.739303398E1,2.765564537E1,3.991748932E1
7.678885731E0,9.598808289E0,2.740739059E1,2.692284393E1,3.959976900E1
7.681424950E0,9.852447510E0,2.700479889E1,2.635275459E1,3.899740452E1
7.683964169E0,9.402596474E0,2.617628288E1,2.636711121E1,3.832533313E1
7.686503440E0,8.334799767E0,2.472563553E1,2.719562531E1,3.768856558E1
7.689042658E0,6.898507595E0,2.290110779E1,2.834477806E1,3.708741819E1
7.691581877E0,5.653043270E0,2.116332054E1,2.913979340E1,3.645504895E1
7.694121096E0,4.729413986E0,1.987957001E1,2.907758141E1,3.553970175E1
7.696660315E0,3.972683907E0,1.908993912E1,2.817249489E1,3.426218705E1
7.699199533E0,3.273381472E0,1.846242142E1,2.665484810E1,3.258921536E1
7.701738752E0,2.746960402E0,1.792104530E1,2.478246498E1,3.070635483E1
7.704277971E0,2.358724833E0,1.736590958E1,2.283350945E1,2.878380711E1
7.706817242E0,2.081157446E0,1.681496239E1,2.112862396E1,2.708307455E1
7.709356460E0,1.712662816E0,1.620240021E1,1.972583199E1,2.558435917E1
7.711895627E0,1.271785259E0,1.555095482E1,1.844268036E1,2.415744383E1
7.714434898E0,7.310073376E-1,1.495274830E1,1.725045586E1,2.284069352E1
7.716974117E0,-4.486542568E-2,1.444487190E1,1.601456451E1,2.156670150E1
7.719513335E0,-8.781659007E-1,1.392323685E1,1.456870079E1,2.017113637E1
7.722052606E0,-1.788036704E0,1.335314655E1,1.292124271E1,1.866713988E1
7.724591825E0,-2.558525562E0,1.282194042E1,1.124088287E1,1.724255367E1
7.727131096E0,-3.200400352E0,1.227577877E1,9.622138023E0,1.592240079E1
7.729670315E0,-3.770490170E0,1.172064304E1,8.176275253E0,1.477976815E1
7.732209533E0,-4.201198578E0,1.116491032E1,6.883552551E0,1.377274800E1
7.734748752E0,-4.426123619E0,1.071027374E1,5.791827202E0,1.295553149E1
7.737287971E0,-4.512265205E0,1.031725311E1,4.915455818E0,1.228690176E1
7.739827190E0,-4.349553585E0,1.008754253E1,4.211368084E0,1.176489490E1
7.742366408E0,-4.129413605E0,9.915258408E0,3.579064369E0,1.132140043E1
7.744905627E0,-3.808775425E0,9.833903313E0,3.047857761E0,1.097733399E1
7.747444898E0,-3.238685369E0,9.786046028E0,2.573480844E0,1.062443332E1
7.749984117E0,-2.592025042E0,9.685547829E0,2.286342144E0,1.028376346E1
7.752523335E0,-1.902892232E0,9.507881165E0,2.439482689E0,9.998593845E0
7.755062554E0,-1.170090318E0,9.206384659E0,3.177070379E0,9.809200071E0
7.757601773E0,-2.937189937E-1,8.919246674E0,4.407579422E0,9.953189862E0
7.760140992E0,6.161518097E-1,8.656036377E0,5.877968788E0,1.048127501E1
7.762685992E0,1.669592023E0,8.468797684E0,7.591827869E0,1.149538699E1
7.765230992E0,2.703889608E0,8.315656662E0,9.062217712E0,1.259305184E1
7.767775992E0,3.661616802E0,8.219944000E0,1.015394306E1,1.356751549E1
